Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
3/24/2022 8:00,BB,TT13,220269,No,Female,Juvenile,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-195,163.922,,145,,,,163.922_220269
3/22/2022 8:00,BB,TT32,220259,No,Female,Juvenile,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-45,162.647,,146,,,,162.647_220259
3/22/2022 8:00,BB,TT32,220260,No,Male,Adult,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-146,163.932,,147,,,,163.932_220260
3/16/2022 8:00,BB,59,220072,No,Female,Juvenile,,160,Bad - Scalp Severely Torn,Right,None,None,,,,None,,,,Scrapes with open wounds on the metacarpus of the wing ,148,,,,_220072
3/16/2022 8:00,BB,59,220073,No,Female,Juvenile,,164,Bad - Scalp Severely Torn,Right,None,None,,,,None,,,,,149,,,,_220073
3/16/2022 8:00,BB,59,220084,No,Male,Juvenile,,164,Bad - Scalp Severely Torn,Right,None,None,,,,None,,,,,150,,,,_220084
3/25/2022 8:00,DB,158,220398,No,Male,Adult,,185,Good,Right,None,None,,,,None,,,,,151,,,,_220398
12/15/2021 10:00,AC,43,214700,YES,Male,Juvenile,,176,Good,Left,none,VHF-Pendant,AWE,021-75,165.423,VHF-Pendant,AWE,021-75,165.423,,152,,,,165.423_214700
12/15/2021 10:00,AC,43,214707,YES,Female,Adult,,190,Good,Left,none,VHF-Pendant,AWE,021-32,164.255,VHF-Pendant,AWE,021-32,164.255,,153,,,,164.255_214707
12/15/2021 10:00,AC,43,214709,YES,Female,Adult,,169,Good,Left,none,VHF-Pendant,AWE,021-98,165.946,VHF-Pendant,AWE,021-98,165.946,,154,,,,165.946_214709
3/13/2021 10:00,AC,51,214733,Yes,Male,Juvenile,,150,Good,Right,None,None,,,,VHF-Pendant,AWE,TTA20210,162.27,,155,,,,162.270_214733
3/14/2022 8:00,AC,52,220254,No,Female,Juvenile,,160,Good,Right,None,VHF-Pendant,AWE,Tta2-,149.549,VHF-Pendant,AWE,OA2134,162.498,,156,,,,162.498_220254
3/14/2021 8:00,AC,52,214728,Yes,Female,Adult,,162,Good,Right,None,VHF-Pendant,AWE,2159,165.095,VHF-Pendant,AWE,2159,165.095,,157,,,,165.095_214728
3/14/2021 8:00,AC,52,214729,Yes,Female,Juvenile,,158,Bad - Scalp Severely Torn,Left,None,VHF-Pendant,AWE,2137,164.416,VHF-Pendant,AWE,2137,164.416,,158,,,,164.416_214729
3/14/2021 8:00,AC,52,214736,Yes,Male,Juvenile,,160,Good,Left,None,VHF-Pendant,AWE,OA219,162.094,VHF-Pendant,AWE,OA219,162.094,,159,,,,162.094_214736
3/19/2022 8:00,AC,54,220317,No,Female,Juvenile,,165,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa2118,162.194,,160,,,,162.194_220317
3/17/2022 8:00,AC,55,205016,Yes,Female,Adult,,180,Good,Right,None,VHF-Pendant,AWE,Tta21888,149.523,VHF-Pendant,AWE,Oa21187,164.436,,161,,,,164.436_205016
3/24/2022 8:00,AC,TT36,220272,No,Female,Juvenile,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-151,164.003,,162,,,,164.003_220272
3/24/2022 8:00,AC,TT36,220273,No,Female,Adult,,0,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-59,162.824,,163,,,,162.824_220273
12/15/2021 10:00,AC,,214704,No,Female,Juvenile,,168,Good,Left,none,none,,,,VHF-Pendant,AWE,021-5N,162.314,,164,,,,162.314_214704
